Metric,Value
Unique visitors,"7,925"
Session rows,"10,462"
Event rows (cleaned),"46,705"
Distinct event users,"7,925"
Session date range,2026-02-26 → 2026-06-05
Event date range,2026-02-26 → 2026-06-05
