feature,HR_med,lo,hi,pct_gt1
signup_lag_log,inf,0.0,,0.842
launched_agents,1.9691115568031368,0.8642922873926372,4.234941626302062,0.938
fs_is_bounce,1.8676965795261604,0.7076083535816604,5.152039403757634,0.894
team_org,1.7947054679024803,1.0526920680926621,3.0620284765080426,0.98
launch_clicks_log,1.6245038937765313,1.0399491121852185,3.1346400104974843,0.984
used_Results,1.613704060490528,0.845455974536962,3.0079921073759683,0.926
used_Factbook,1.2086867346987569,0.4822464356708458,3.1967962488055104,0.672
fs_exceptions,1.1628730790062134,0.6059922625123548,2.0546265343432983,0.676
fs_rageclicks,1.1601883920767966,1.0136979044145837,1.5989029469165368,0.98
navi_pv_log,1.0537164444111808,0.7493525310800792,1.4124943796590252,0.624
fs_clicks_log,1.0460757460661143,0.8676929620564364,1.2170964398483841,0.668
used_Documents,1.0225967507806049,0.5807773300443173,1.8855735255806667,0.526
fs_duration_log,1.0019828220534919,0.8842683068698249,1.1505205395970242,0.516
fs_meaningful,0.9695932972344876,0.5155378827274113,1.809854686167009,0.474
fs_pageviews_log,0.9529598048032937,0.7765305056549224,1.1997726211893527,0.312
fs_breadth,0.9400285181769843,0.8441856012361385,1.046697931031135,0.13
used_Agents,0.7660802149318755,0.44053761076607745,1.3745085044706309,0.19
used_Navi,0.6179117783273447,0.3643983673259015,1.0592936752856332,0.042
