feature,importance
landed_on_get_started,0.3818612900543533
pre_events,0.13329280674139038
pre_duration_s,0.10782449820657594
pre_clicks,0.06702543115599047
referrer_group,0.05597326692384854
browser_group,0.05216068663907715
pre_pageviews,0.045580464905815396
country_group,0.03619712721335185
landing_group,0.024028097766266167
visit_dow,0.017686891551302687
visit_hour,0.009521892280402488
pre_home_seconds,0.009075321867019748
channel_type,0.007714111564665627
pre_comm_seconds,0.007564958049360482
pre_api_views,0.005596275134147666
device_type,0.0020678523572392306
pre_unique_paths,0.0019676306038046267
pre_dead_clicks,0.0018699549302297336
pre_comm_breadth,0.0008836863551651475
pre_labs_views,0.000619789621461253
pre_pricing_views,0.0005671343196181455
pre_about_views,0.00026476502271897127
pre_solutions_views,0.00012956031689831393
pre_cross_journey,0.0
pre_uc_group_breadth,0.0
pre_rageclicks,0.0
pre_uc_breadth,0.0
pre_platform_views,-2.5818767804497434e-06
pre_home_views,-0.00012307259553054895
pre_uc_pageviews,-0.00024537546885874397
pre_comm_pageviews,-0.00038783169028140386
pre_uc_seconds,-0.0004535828124805796
utm_bucket,-0.0020302582175459214
