model,test_AUC,test_AP,test_Brier,cv_AUC_mean,cv_AUC_sd,cv_AP_mean,cv_AP_sd
M0 baseline RF (notebook features),0.5755359790169917,0.07925559176531179,0.2290673265277248,0.5601430306295208,0.01901858097826166,0.08547846639213533,0.006912129166047101
M1 enriched RF,0.9359989736572014,0.532400139139845,0.07558876985432052,0.9291758913416077,0.006922327215427747,0.5060991337000459,0.030747942376136844
M2 enriched XGBoost,0.9362356026912989,0.5957525717752276,0.06333059817552567,0.9255082992923324,0.012395634837463672,0.5624841473654442,0.06279545241295295
M3 enriched logistic (elastic net),0.9107110274831794,0.3878567828883355,0.11020716256444421,0.8897539006341487,0.013361462161029125,0.3519142257258695,0.02811707979733507
