feature,std_coef,MW_p
rageclick_count,0.9582664405049,2.6838516528506887e-08
total_pv,0.888484050300285,0.001028642987583951
mean_dur,-0.8662840335444103,0.01171498023385386
engagement_depth,0.6608635219820531,0.002326187514936303
total_clicks,0.5977462260994866,0.0017493921810466393
max_dur,-0.4241032429893555,0.00843888541584768
has_referrer,0.20903129047457222,0.8409056453536021
n_sessions,0.06561693646035781,0.009241703927348802
